Matricula,Temporada,Embarcacion,Armador,casco,tipo_presevacion,eslora,potencia_motor,capbod_m3,numowned
PL-11472-CM,2017-I,MI GUMER 2,TORRES SANTILLAN MANUEL ALBERTO,MADERA,CAJ/HIE,15,280,38.85,1
CE-5835-PM,2017-I,CALAMAR 2,PESQUERA LUISA S.A.,ACERO NAVAL,RSW,22.47999954,380.3,161.51,2
CE-2639-PM,2017-I,RENZO 4,PESQUERA HUMACARE S.A.,ACERO NAVAL,N/P,24.37999916,402.62,191.65,7
PL-4453-CM,2017-I,DON INOCENTE,PUESCAS GALAN PEDRO ALVINGULO ;PUESCAS GALAN JOSE OMAR,MADERA,CAJ/HIE,12,275,40.23,1
PL-4324-CM,2017-I,JUAN CARLOS,PESQUERA LUZMAG S.A.C.,MADERA,CAJ/HIE,15.06000042,340,45.05,4
PL-31178-PM,2017-I,NEPTUNO,PESQUERA JUFRAN SB S.A.C.,MADERA,N/P,20,365,85.14,1
PL-5662-CM,2017-I,SABINA BEATRIZ Nº4,PANTA SANCHEZ JHONATAN BERNARDO ;PANTA SANCHEZ LARRY ALBERTO,MADERA,CAJ/HIE,14.75,84,33.45,2
CO-10407-CM,2017-I,MOISES I,PERICHE PANTA CRISPIN,MADERA,N/P,14.5,177.47,57.44,1
PT-30971-CM,2017-I,JORGE II,INVERSIONES PESQUERAS JORGE E.I.R.L.,MADERA,N/P,19.450000760000002,450,108.18,1
CO-18762-PM,2017-I,BENDICION DE MI MADRE,PERICHE PANTA CRISPIN ;PERICHE PERICHE JUAN CARLOS,MADERA,CAJ/HIE,15.57999992,365,85.35,1
CE-29556-PM,2017-I,CRISTO REDENTOR,OROSCO CASTRO JOSE ROSARIO,MADERA,CAJ/HIE,20.97999954,445,110,4
PT-3996-BM,2017-I,JOSE OTILIO III,EMPRESA PESQUERA PAE S.A.C.,MADERA,CAJ/HIE,11.93999958,220,36.04,1
PL-35852-PM,2017-I,DON ERNESTO,PUESCAS FIESTAS JULIO ;LLENQUE DE PUESCAS BEATRIZ ;LLENQUE VDA DE PUESCAS BALBINA,MADERA,N/P,20,185,77.06,3
CE-28659-PM,2017-I,DON RAUL IV,INVERSIONES QUIAZA SAC.,ACERO NAVAL,RSW,43.29999924,1300,325.13,2
HO-21050-CM,2017-I,MARCO ANTONIO,PESQUERA MARCO ANTONIO S.A.C.,MADERA,CAJ/HIE,23.14999962,540,108.63,1
CE-4019-CM,2017-I,PROGRESO I,EMPRESA PESQUERA JADA S.A.C,ACERO NAVAL,N/P,19.80999947,380,107.11,1
HO-21106-PM,2017-I,VANESSA,PESQUERA JANO S.A.C.,MADERA,CAJ/HIE,20.60000038,480,94.93,2
CE-11490-PM,2017-I,REGION CHAVIN IV,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,N/P,32.68999863,421.32,279,9
CE-0227-PM,2017-I,MACABI 9,RH ADMINISTRACIONES S.A.,ACERO NAVAL,N/P,38.93000031,NA,287.3,4
PL-18009-CM,2017-I,JESUS MENSAJERO DE PAZ,EMPRESA ISAFRAN S.A.C.,MADERA,CAJ/HIE,12.52999973,320,35.41,1
PL-5499-CM,2017-I,NIÑO DEL MILAGRO II,FIESTAS FIESTAS JOSE EUSEBIO ;SANTAMARIA DE FIESTAS MANUELA,MADERA,CAJ/HIE,16.299999239999998,190,68.19,1
PL-4851-PM,2017-I,BEATITA DE HUMAY 3,CUSTODIO HUAMANCHUMO NICOLASA,MADERA,N/P,18.799999239999998,150,39.1,3
PL-19845-CM,2017-I,D. ANGELO AGUSTIN,QUEREBALU CASTRO JOSE MERCEDES,MADERA,CAJ/HIE,14.899999619999999,230,36.74,1
TA-3854-PM,2017-I,AURORA MARGARITA 2,AUROMAR S.A.C.,MADERA,CAJ/HIE,14,2400,105.03,2
CE-15458-CM,2017-I,TENTADORA,EMPRESA PESQUERA ANOR S.A.C.,MADERA,CAJ/HIE,16.31999969,238,103.85,1
CO-22133-PM,2017-I,VICTOR III,GROUP VIOLETA S.A.C,MADERA,N/P,19.14999962,250,105.27,2
PL-34323-PM,2017-I,EMMANUEL,GORDILLO JACINTO TORIBIA,MADERA,N/P,19.799999239999998,450,104.16,2
PL-1524-CM,2017-I,JUANA ROSA,ECHEANDIA PAIVA AUGUSTO ;ECHEANDIA PAIVA EDUARDO ;ECHEANDIA PAIVA JOSE MATIAS ;ECHEANDIA PAIVA TOMAS ;FIESTAS DE ECHEANDIA GREGORIA ;FIESTAS DE ECHEANDIA ROSA VICTORIA ;LARA DE ECHEANDIA MARTHA ;LLENQUE DE ECHEANDIA CONCEPCION,MADERA,CAJ/HIE,14.90999985,89.48,40.29,1
PT-3901-CM,2017-I,CARLOS Y EDUARDO,PANTA ALVAREZ CARLOS ;PANTA ALVAREZ EDUARDO JOSE,MADERA,CAJ/HIE,15.399999619999999,365,77.46,1
PT-3888-CM,2017-I,CINTHIA,RODRIGUEZ VARGAS MARGARITA CARMEN,MADERA,N/P,15,238,87.11,1
TA-21063-PM,2017-I,MI EDUARDO,CALDERON DE FIESTAS MARTHA ELENA ;FIESTAS PERICHE PEDRO ARCANGEL,MADERA,N/P,19.96999931,540,99.54,1
CO-15856-CM,2017-I,MERCEDEZ ANGELITA,GALAN PINGO JUAN ENRIQUE ;GALAN PINGO ROSA ANGELITA ;GALAN PINGO SANTOS MANUEL ;PURIZACA ECHE MARIA DEL PILAR ;PURIZACA FIESTAS JOHNNY WALTER,MADERA,CAJ/HIE,14.63000011,180,66.84,1
CO-0192-PM,2017-I,SUSANA,PESQUERA CHAPSA S.R.L.,ACERO NAVAL,N/P,31.60000038,238.62,295.87,2
PT-17720-CM,2017-I,DON GREGORIO,ECHE PANTA JOSE ROBERTO ;GLADYS ECHE PANTA ;PANTA ALVAREZ ELOY,MADERA,CAJ/HIE,17.21999931,380,86.5,1
PT-11102-CM,2017-I,JESUS NAZARENO CAUTIVO,FIESTAS ECHE MANUEL BERNARDINO ;QUEREVALU DE FIESTAS TEODORA,MADERA,N/P,11.80000019,222,36.87,1
PT-21143-PM,2017-I,MARIA ISABEL II,RUMICHE VALENCIA FRANCISCO ;RUMICHE VALENCIA LUCIO CAYO ;RUMICHE VALENCIA PABLO ;RUMICHE VALENCIA SANTOS,MADERA,N/P,21.200000760000002,380,98,2
PL-6383-CM,2017-I,ROSITA AMALIA,BERNAL CASTRO ANGELITA ;CASTRO URCIA VICTOR RAUL,MADERA,CAJ/HIE,12.350000380000001,150,37.7,1
PT-4413-CM,2017-I,MI SAN MARTIN I,ROSAS MARTINEZ DE RUIZ WILMA ;RUIZ ANTON DANIEL,MADERA,CAJ/HIE,14.100000380000001,88,43.49,1
CO-16650-PM,2017-I,DON LOLO,QUEREVALU PAZO MANUEL ;QUEREVALU PAZO WILFREDO,MADERA,CAJ/HIE,20.89999962,174,70.17,1
PL-18115-CM,2017-I,SABINA BEATRIZ Nº1,PANTA OROSCO WILMER MANUEL,MADERA,CAJ/HIE,12.100000380000001,365,36.2,2
CE-2779-PM,2017-I,RENZO 2,PESQUERA HUMACARE S.A.,ACERO NAVAL,N/P,24.87000084,402.67,190.72,7
CO-20285-PM,2017-I,CRISTINA,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,43,1030,494.71,27
CO-0394-PM,2017-I,ROCIO,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,36.15000153,746,296,5
PL-11067-CM,2017-I,CRUZ DE CHALPON 2,PESQUERA LUZMAG S.A.C.,MADERA,CAJ/HIE,11.94999981,180,39.28,4
PL-17159-CM,2017-I,DON MANUEL,CHANDUY ZE? JUAN CARLOS,MADERA,N/P,14.80000019,180,34.11,1
CO-17901-CM,2017-I,DON JULIO,EMPRESA PESQUERA BRANIMAR S.R.L.,MADERA,CAJ/HIE,15.80000019,238,69.58,2
PT-3956-PM,2017-I,SEÑOR DE LA ASCENCION,ECHE PERICHE JUAN GUALBERTO,MADERA,N/P,20,454,74.24,1
PT-17974-PM,2017-I,MI SANTO TORIBIO,ECA DE ECHE MARTHA ESTHER ;ECHE SANCHEZ CLAUDIO,MADERA,CAJ/HIE,19.85000038,440,66.38,1
PT-3461-CM,2017-I,VIRGEN DEL CARMEN II,PANTA AMAYA GERARDO ;PANTA AMAYA RAFAEL ;PANTA DE RUMICHE CONCEPCION ;PANTA DE RUMICHE MAXIMA ;RUMICHE PANTA FELIPE ;RUMICHE PANTA FRANCISCO ;RUMICHE PANTA MARIA CRISTINA ;RUMICHE VALENCIA MARIA JOSEFA,MADERA,CAJ/HIE,13.55000019,350,33.37,2
PT-17962-CM,2017-I,MILAGRO DE CHALPON,INVERSIONES PESQUERAS JUAN CARLOS E.I.R.L.,MADERA,CAJ/HIE,19.28000069,600,85,2
PL-19963-CM,2017-I,SANTA ELVIRA,GALAN CHIMOY JUAN ELEODORO ;GALAN DE GALAN FELICIA,MADERA,CAJ/HIE,15.30000019,185,53.54,1
PL-14314-CM,2017-I,GUIAME SEÑOR DE LUREN 2,URCIA CASTRO CARLOS ANTONIO ;URCIA CASTRO CARMEN ROSA ;URCIA CASTRO JOSE ALBERTO ;URCIA CASTRO JUAN PEDRO ;URCIA CASTRO MANUELA ;URCIA CASTRO NICOLAS ;URCIA CASTRO RAMON ;URCIA CASTRO SEVERINA ;URCIA CASTRO ZARELA ;URCIA FLORES HERMINIA ;URCIA F,MADERA,N/P,16.04000092,180,34.55,1
PT-38792-CM,2017-I,MERCEDES ANGELITA II,ECHE TUME JIMMY OMAR ;ECHE TUME JOSE ANTONIO ;TUME FIESTAS MARIA ALFONSA,MADERA,N/P,19.5,365,93.96,2
PL-2273-CM,2017-I,SANTA CATALINA,FIESTAS LLENQUE ROMAN GILBERTO,MADERA,CAJ/HIE,14.94999981,240,45.63,1
CE-3707-PM,2017-I,RIBAR I,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,40,663.84,325,27
PT-4238-PM,2017-I,MI CAUTIVO,PAZO REYES JOSE GUALBERTO ;PAZO REYES SILVESTRE ;RUMICHE ECHE MATILDE PAULA ;VALDIVIEZO QUEREVALU CLARA ELENA,MADERA,N/P,19,350,90.48,1
PT-5823-CM,2017-I,MARIA ANGELITA III,ECHE RAMIREZ PEDRO PASCUAL,MADERA,CAJ/HIE,12.05000019,155,50.38,1
CO-17711-CM,2017-I,JESUS EN TI CONFIO,ARROYO CHANCAFE MANUEL ;BERNAL OROSCO VIOLETA,MADERA,CAJ/HIE,16.30999947,238,79.96,2
PL-18436-CM,2017-I,BENDICION,CORPORACION CORSIHU S.A.C.,MADERA,CAJ/HIE,11.56999969,235,33,1
CE-21140-CM,2017-I,NUESTRA SEÑORA DE LA PAZ 3,HUAMANCHUMO CASAS VICENTE ;SIPION DE HUAMANCHUMO MARIA VICTORIA,MADERA,N/P,14.80000019,400,39.62,1
PL-20856-CM,2017-I,NUESTRA SEÑORA DE FATIMA,RAMOS KONG BLANCA ESTHER ;RAMOS KONG LUIS ALEJANDRO,MADERA,CAJ/HIE,15,350,53.46,1
PL-17357-CM,2017-I,LAYDI DIANA,BERNAL CASTRO MARIA MAGDALENA ;URCIA CASAS RAUL,MADERA,CAJ/HIE,18,134,49.61,1
PT-51907-PM,2017-I,MI JESUS SANTOS,SUCLUPE URCIA EDWIN RUBEN,MADERA,N/P,21,450,73.94,1
CE-15568-PM,2017-I,SUSAN VI,COMPAÑIA INDUSTRIAL DE PISCO S.A.C.,ACERO NAVAL,N/P,33.00999832,633.84,292.96,2
CE-15260-PM,2017-I,MARYLIN II,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,48,1100,535.04,19
PL-10547-CM,2017-I,MI MARCELITA,FIESTAS CURO MARCIAL ;PANTA MARTINEZ MANUEL ;PANTA PUESCAS JUAN,MADERA,CAJ/HIE,14.35999966,222,34.67,2
PT-4268-CM,2017-I,SANTA TERESITA,JACINTO ECA ANGEL ;PANTA DE JACINTO BENANCIA,MADERA,N/P,19,365,33.58,1
CE-6613-PM,2017-I,COMANCHE III,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,37.40000153,633.8,385.33,20
CO-16560-CM,2017-I,CAPRICORNIO 7,PESQUERA CAPRICORNIO S.A.,ACERO NAVAL,N/P,21.78000069,268.65,104.63,7
SE-0751-PM,2017-I,ZHENNA I,NI? MARIA S.R.L,ACERO NAVAL,N/P,31.39999962,522.4,208.53,1
CE-6387-PM,2017-I,CAPRICORNIO 5,PESQUERA CAPRICORNIO S.A.,ACERO NAVAL,RSW,35.97000122,633.85,395.25,7
CE-2914-PM,2017-I,LIMA 5,PESQUERA TAMBO S.R.L.,ACERO NAVAL,N/P,36.56999969,740.14,398.03,1
PT-18058-CM,2017-I,MILAGROSO CAUTIVO,FIESTAS PERICHE JOSE FRANCISCO ;JACINTO DE FIESTAS EULOFIA,MADERA,CAJ/HIE,15.80000019,540,94.65,1
CO-20440-PM,2017-I,SIMY 1,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,38.65000153,894.84,358.22,20
PT-29100-PM,2017-I,DON MANUEL II,TEMOCHE PUESCAS CRISTINA ISIDORA ;TEMOCHE PUESCAS DANIEL,MADERA,N/P,20,429,86.9,1
CO-20779-PM,2017-I,JESUS ES EL CAMINO,TUME DE VITE MARIA ANITA ;VITE PINGO JUAN,MADERA,CAJ/HIE,16.30999947,208.79,79.01,1
PT-4432-CM,2017-I,MILAGRITOS,TUME RUIZ CESAR AUGUSTO ;TUME RUIZ JUAN ALEJANDRO,MADERA,N/P,14.600000380000001,290,46.08,1
PT-21119-CM,2017-I,LORENA,MARTINEZ JACINTO JUAN ;MARTINEZ JACINTO JULIO ;PANTA DE MARTINEZ HILDA MARUJA ;PANTA ECA MARIA DILSIA,MADERA,N/P,19.89999962,200,105.83,2
PL-21027-PM,2017-I,JHONNY MANUELITO,ALVAREZ CARRERA JUANA ;ALVAREZ ECHE JOSE SIMON,MADERA,N/P,20,440,100,1
PT-20762-CM,2017-I,SEÑOR DE LA ASENCION II,ECHE PERICHE JOSE ELOY,MADERA,CAJ/HIE,11.5,214,33.36,1
PL-017354-CM,2017-I,ALABADO SEA DIOS,JACINTO ECHEANDIA RAQUEL DEL MILAGRO ;JACINTO LLENQUE JUANA AMELIA ;TINCEP AREVALO JOSE ANDRES,MADERA,N/P,15,334,73.72,1
PT-11862-CM,2017-I,PODEROSO CAUTIVO,FIESTAS PERICHE NORBERTO ROLANDO,MADERA,CAJ/HIE,16.700000760000002,380,73.51,1
CE-5078-PM,2017-I,PROGRESO II,EMPRESA PESQUERA FAISA S.A.C,ACERO NAVAL,N/P,18.79000092,347,119.22,1
PL-1005-CM,2017-I,MARCOS DAVID,HUAMANCHUMO RAMON JIMMY JAVIER ;HUAMANCHUMO RAMON MARCOS DAVID ;HUAMANCHUMO RAMON DE DIAZ LUCY GLADYS ;RAMON LEYTON DOROTEA,MADERA,CAJ/HIE,14.899999619999999,220,34,1
PT-4401-CM,2017-I,MARIA DEL ROCIO,FIESTAS PERICHE YOLANDA JESUS,MADERA,CAJ/HIE,14,320,60.64,1
CO-21909-PM,2017-I,ELISA,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,39.09999847,1200,330,20
CO-20239-CM,2017-I,JUAN,QUEREVALU PERICHE JOSE SIMON ;VALDIVIEZO QUEREVALU DE QUEREVALU EUSEBIA,MADERA,CAJ/HIE,14.02000046,171.51,109.11,1
HO-1142-PM,2017-I,JULISSA,PESQUERA JANO S.A.C.,MADERA,N/P,20.65999985,230,109.23,2
CO-16806-CM,2017-I,FLORA I,EMPRESA PESQUERA FLORA S.A.C.,MADERA,CAJ/HIE,21.049999239999998,75,109,1
PL-29764-CM,2017-I,NIÑO DEL MILAGRO III,FIESTAS FIESTAS JOSE EUSEBIO ;SANTAMARIA DE FIESTAS MANUELA ;FIESTAS FIESTAS TOMAS ;FIESTAS GALAN MANUELA,MADERA,CAJ/HIE,16,280,68.39,1
CO-18297-CM,2017-I,SAN MARTIN DE PORRAS IV,NEGOCIOS PESQUEROS SAN MARTIN DE PORRAS S.A.C.,MADERA,N/P,19.200000760000002,177.47,91.1,1
CO-10418-PM,2017-I,ALEXANDRA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,42.43999863,1450,381.6,29
PL-3030-CM,2017-I,CRISTO SALVADOR,ANCHOA V & V S.A.C.,MADERA,CAJ/HIE,22,220,105.09,2
PT-18830-CM,2017-I,DON VICTOR,TEQUE FIESTAS JUAN,MADERA,CAJ/HIE,19.93000031,NA,109.52,1
PT-6324-PM,2017-I,MAGALLANES,PESQUERA CANTABRIA S.A.,ACERO NAVAL,RSW,40.77000046,850,394.37,10
PL-2250-CM,2017-I,EL NAZARENO,CASTRO DE CHAYAN ROSA DEL PILAR ;CHAYAN CASTRO MANUEL ALFREDO ;CHAYAN SIPION JUAN PASTOR,MADERA,CAJ/HIE,16.700000760000002,265,52.72,1
PT-19876-CM,2017-I,ESPERANZA EN CRISTO II,PANTA PANTA HECTOR,MADERA,N/P,17.26000023,80,34.31,1
PT-6081-CM,2017-I,EXITO,PANTA AMAYA JOSE JULIAN ;PANTA PANTA JOSE,MADERA,CAJ/HIE,14.81999969,238,52.04,1
PL-1517-CM,2017-I,MARGARITA ISABEL,INVERSIONES PESQUERAS HB S.A.C.,MADERA,CAJ/HIE,14.64000034,340,34.1,1
CE-11169-CM,2017-I,SILVIA ESMERALDA,"NAHIARA ESMERALDA S.A.C.",MADERA,N/P,15,177.45,72.97,2
CO-18657-PM,2017-I,MARIA ISABEL,RUMICHE VALENCIA FRANCISCO ;RUMICHE VALENCIA LUCIO CAYO ;RUMICHE VALENCIA PABLO ;RUMICHE VALENCIA SANTOS,MADERA,CAJ/HIE,22.64999962,540,97.26,2
CE-20661-PM,2017-I,MODESTO 3,PESQUERA NIROCI S.A.C.,ACERO NAVAL,RSW,35.40999985,940,301.66,5
CO-19579-PM,2017-I,MARIA JOSE,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,45.43999863,960,449.16,29
CO-17360-PM,2017-I,DON GERARDO,PESQUERA PELAYO S.A.C.,ACERO NAVAL,RSW,46,1051,575.12,4
CO-10302-PM,2017-I,MAGNOLIA BELEN,PESQUERA CHAPSA S.R.L.,ACERO NAVAL,N/P,31.09000015,380.3,293.14,2
PL-18085-CM,2017-I,MI ZOILITA,EMPRESA PESQUERA B & B E.I.R.L.,MADERA,CAJ/HIE,13.71000004,180,34.2,1
PL-4446-CM,2017-I,JESUS SOBRE LAS AGUAS,BERNAL PALMA ELI FABIAN,MADERA,CAJ/HIE,18.02000046,185,39.99,1
PT-20064-PM,2017-I,ARCA DE NOE IV,PANTA PANTA HECTOR ;PANTA PANTA PERCY ;PANTA PANTA SEBASTIAN ALBERTO ;PANTA PANTA TEOFILO,MADERA,CAJ/HIE,21.04000092,540,92.34,1
PT-11176-CM,2017-I,PROVIDENCIA DE DIOS,FIESTAS ALVAREZ EBERTH ;FIESTAS ECHE MARIA ANGELA ;FIESTAS ECHE MARIA DEL SOCORRO ;FIESTAS ECHE MARIA HUMBERTA ;FIESTAS ECHE MARIA LEONARDA ;FIESTAS ECHE MARIA MAGDALENA ;FIESTAS ECHE MARIA MARLENEE ;FIESTAS ECHE ROSA CECILIA ;FIESTAS ECHE SANTOS,MADERA,N/P,14.97999954,120,65.5,1
PL-4158-BM,2017-I,MONITOR HUASCAR Nº 2,SANTISTEBAN URCIA MANUEL ;SANTISTEBAN URCIA PEDRO,MADERA,CAJ/HIE,13.05000019,326,33,1
PL-21001-PM,2017-I,MI JUSTINA,FIESTAS GALAN DE LLENQUE MARIA JUSTINA ;LLENQUE FIESTAS LUIS ALBERTO ;LLENQUE FIESTAS MANUEL RAMOS,MADERA,CAJ/HIE,22.60000038,365,110,1
PT-12970-PM,2017-I,CHARLY,PESQUERA HUMACARE S.A.,ACERO NAVAL,RSW,33.58000183,805,290.88,7
PL-18111-CM,2017-I,MI ANGELICA,CHAPILLIQUEN PRADO PEDRO ;FIESTAS DE FIESTAS MARIA BERTHA ;FIESTAS DE JACINTO MARIA ANGELITA ;FIESTAS MARTINES MARIA LEONOR ;FIESTAS MARTINEZ ILDA ROSA ;FIESTAS MARTINEZ JOSE CIRIACO ;FIESTAS MARTINEZ LUIS GERMAN ;FIESTAS MARTINEZ MARIA GLADYS ;FIE,MADERA,CAJ/HIE,15.649999619999999,134,33,1
PL-19495-CM,2017-I,MITSI ISABEL,BERNAL CASTRO MIGUEL ANGEL,MADERA,CAJ/HIE,15,130,35.04,1
CO-11939-PM,2017-I,ALONDRA,LOS HALCONES S.A.,ACERO NAVAL,N/P,31.09000015,450,277.78,4
CO-15314-PM,2017-I,DON FERNANDO,PERUANA DE ADMINISTRACION Y GESTION INTEGRAL S.A.C.,ACERO NAVAL,RSW,44.20000076,1125,412.5,3
PT-3401-CM,2017-I,MI DIONICIO 3,LOBOS MARINOS S.A.C.,MADERA,N/P,17.200000760000002,365,50,1
PL-22439-PM,2017-I,LUIS ALVARO,FIESTAS CURO DE LLENQUE CECILIA PATRICIA ;LLENQUE CURO ITALO JAVIER ;LLENQUE CURO PERCY WILLY ;PAIRAZAMAN ZULOETA CARMEN FANNY,MADERA,N/P,14.96000004,440,110,2
PL-15242-CM,2017-I,JULIO VALERIANO 2,PESQUERA MARICARMEN S.A.C.,MADERA,CAJ/HIE,15.80000019,365,44.51,2
PL-10060-CM,2017-I,EL BUEN SAMARITANO,CHAVESTA DE MERINO MARTHA ;MERINO BANCES ANTIPAZ,MADERA,CAJ/HIE,11.68999958,184,37.95,1
PT-6162-CM,2017-I,MILAGRO DE CHALPON II,EMPRESA PESQUERA CRUZ DE CHALPON SOCIEDAD ANONIMA CERRADA,MADERA,CAJ/HIE,15.350000380000001,280,51.56,2
CE-4083-PM,2017-I,ZORRITOS 2,INVERSIONES MOREDA S.A.C,ACERO NAVAL,N/P,31.60000038,510,278.56,3
CE-2449-PM,2017-I,MATEO,PERUANA DE ADMINISTRACION Y GESTION INTEGRAL S.A.C.,ACERO NAVAL,N/P,39.47000122,850,267.6,3
CE-1848-PM,2017-I,DON ALFONSO,LOS CARLOS S.R.L.,ACERO NAVAL,N/P,23.35000038,268.45,140.42,2
CO-0613-PM,2017-I,CHIMBOTE 9,LOS HALCONES S.A.,ACERO NAVAL,RSW,30.20999908,402.67,272,4
PS-0553-PM,2017-I,MARISOL IV,COMPAÑIA INDUSTRIAL DE PISCO S.A.C.,ACERO NAVAL,N/P,34.79999924,421.32,340.3,2
CO-13270-PM,2017-I,DON VICTOR,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.88999939,900,330.19,23
PT-3481-CM,2017-I,SEÑOR CAUTIVO,ECA IMAN CONSUELO ;ECHE ECA ROBERT ;ECHE SANCHEZ DE RUMICHE ANITA ;RUMICHE PANTA VALENTIN,MADERA,CAJ/HIE,12.28999996,238,35.91,1
PL-18449-CM,2017-I,ALEX ALBERTO,GORDILLO OROZCO ALAN,MADERA,CAJ/HIE,14.06999969,270,37.17,1
CE-11484-PM,2017-I,CHIARA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,42.79999924,1450,328.72,29
PS-6170-PM,2017-I,SAN MARTIN 3,EMPRESA PESQUERA EXTRACTIVA S.R.LTDA.,ACERO NAVAL,N/P,29.44000053,500,238.74,1
CO-18163-CM,2017-I,KIARA,PESQUERA YOLY S.A.C.,MADERA,CAJ/HIE,19.5,540,100.37,2
CO-20742-CM,2017-I,MILAGRO DE CHALPON,PERICHE ALDANA MAGALY DEL ROSARIO ;VITE ZETA ADRIANO,MADERA,CAJ/HIE,20,440,62.39,1
CE-4053-PM,2017-I,MANTA 4,PESQUERA HUMACARE S.A.,ACERO NAVAL,N/P,25.04000092,510,185,7
CE-4122-PM,2017-I,TIBURON 6,PESQUERA LUCIANA S.A.C.,ACERO NAVAL,RSW,34.00999832,633.8,334.38,1
PT-13532-PM,2017-I,CONSTANTE,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,34.59999847,600,399.91,19
CE-0224-PM,2017-I,MACABI 5,RH ADMINISTRACIONES S.A.,ACERO NAVAL,N/P,45.02999878,600,289.46,4
PT-6108-PM,2017-I,MARFIL,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,40.90000153,1207,405.26,27
PT-51986-PM,2017-I,SANTA MARIA,INVERSIONES PESQUERAS JIR S.A.C.,MADERA,N/P,21,600,79.13,1
PL-18003-CM,2017-I,DON VALENTIN 2,FIESTAS RAMIREZ ROMAN (F) ;FIESTAS RAMIREZ ARCIANO,MADERA,CAJ/HIE,12,400,33.8,1
PL-5668-CM,2017-I,MARIA MERCEDES,MERBAR S.A.C.,MADERA,CAJ/HIE,14.80000019,250,77.37,2
CE-19852-CM,2017-I,ZOILA ROSA,PESQUERA ZOILA ROSA S.A.C.,MADERA,N/P,19.799999239999998,283.36,109.32,1
CO-18813-PM,2017-I,PITI,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,42.45999908,900,435.36,20
PL-2118-CM,2017-I,MI JUAN AUGUSTO,PESQUERA IRAYMAR S.A.C.,MADERA,CAJ/HIE,13.03999996,200,33.92,1
PL-17979-CM,2017-I,MARIA MERCEDES,PESQUERA EXALMAR S.A.A.,MADERA,CAJ/HIE,18.049999239999998,238,108.54,23
CO-28915-PM,2017-I,ZHENNA 3,LUQUE NAVARRO ALBERTO NEPTALI,ACERO NAVAL,N/P,36.5,NA,184.94,1
CE-0212-PM,2017-I,SAMA 1,PESQUERA BETHEL S.A.,ACERO NAVAL,N/P,27.700000760000002,395.2,218.98,2
CO-36422-PM,2017-I,MALAGA 1,PESQUERA MAJAT S.A.C.,ACERO NAVAL,N/P,27.62000084,626,226.01,1
PT-21128-PM,2017-I,"NAUTICA 2",DE FERRARI FERRARI FRANCO SILVIO ;MARIATEGUI DE ASCASUBI DE FERRARI MARIA VICTORIA,MADERA,N/P,17.049999239999998,360,104.34,1
HO-21112-CM,2017-I,DON BRADY,DEL CASTILLO CA?RI BRADY WILLIAM,MADERA,CAJ/HIE,16.30999947,220,80.63,1
CE-4117-CM,2017-I,DON MANUEL III,PESQUERA PACASMAYO E.I.R.L.,MADERA,CAJ/HIE,16.799999239999998,260.99,53,1
CE-6498-PM,2017-I,ANITA 3,CUSTODIO EFFIO LORENZO,MADERA,CAJ/HIE,20.64999962,339.29,109.9,3
CE-4120-PM,2017-I,TIBURON 4,PESQUERA CARAL S.A.,ACERO NAVAL,N/P,36.54999924,425.93,251.99,3
CE-2778-PM,2017-I,RENZO 1,PESQUERA HUMACARE S.A.,ACERO NAVAL,N/P,22.39999962,268.45,104.38,7
PL-4451-PM,2017-I,AMIGO DE DIOS 1,IPANAQUE OROSCO ISRAEL ABIMAEL,MADERA,N/P,14.96000004,380,98.03,4
PL-20968-PM,2017-I,MAURO,ALVAREZ ECHE FLORA ;VITE MORALES LEONARDO FELIPE,MADERA,CAJ/HIE,18.82999992,380,102,3
PT-14031-CM,2017-I,SEÑOR DEL MAR IV,PESQUERA PACIFICO DEL NORTE S.A.C.,MADERA,CAJ/HIE,19.700000760000002,350,98.34,3
CE-19914-CM,2017-I,SEBASTIAN,PESQUERA YOLY S.A.C.,MADERA,CAJ/HIE,19.5,510,89.97,2
PL-20643-CM,2017-I,CRUCERO DEL PACIFICO,HUAMANCHUMO CASTRO JUAN ;HUAMANCHUMO CASTRO JUBERT OMAR ;HUAMANCHUMO CASTRO MARLENY ;HUAMANCHUMO CASTRO MELBA MERCEDES ;HUAMANCHUMO CASTRO ORLANDO ;HUAMANCHUMO CASTRO WILLIAM,MADERA,CAJ/HIE,15.05000019,200,45.32,1
CO-17961-CM,2017-I,MILAGRO DE CHALPON V,VITE LALUPU TOMAS,MADERA,CAJ/HIE,21.04000092,298.28,91.26,1
